trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.4, 'e': 0.6448265472400013}",25,0,-41.61212344494393,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.4, 'e': 0.6371511441985804}",20,7,-14.756995790662781,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.6294120265736973}",30,16,12.012570071441013,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.6216099682706644}",30,0,-76.77502142757376,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.4, 'e': 0.6137457494888117}",20,10,6.416045844010169,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.6058201566434631}",25,4,0.724225565135674,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.5978339822872987}",25,14,-2.354429413822701,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.5897880250310981}",20,0,-100.91132569714888,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.4, 'e': 0.5816830894638836}",30,13,-44.97035432136682,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.4, 'e': 0.5735199860724569}",30,10,-86.66929679298781,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",1
97,False,"{'a': 0.4, 'e': 0.5652995311603547}",20,0,-1.62131907299237,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.5570225467662171}",30,0,-189.182218644848,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
99,False,"{'a': 0.4, 'e': 0.5486898605815876}",25,0,-69.01604303408601,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.5403023058681399}",25,14,-16.297432004978624,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.5318607213743558}",20,0,-72.65251527112254,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
102,False,"{'a': 0.4, 'e': 0.5233659512516501}",25,0,-13.502474424394842,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.5148188449699553}",25,0,-32.50360642686957,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.4, 'e': 0.5062202572327785}",20,0,-116.89965871994949,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
105,False,"{'a': 0.4, 'e': 0.49757104789172735}",35,14,15.4946583108152,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.48887208186052733}",25,15,-14.745710347287485,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.4801242290285341}",25,18,13.677552880434632,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.4713283641737402}",30,0,-80.62181077915386,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.4, 'e': 0.46248536687530123}",30,0,-2.819638250779553,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.4, 'e': 0.4535961214255779}",25,0,-123.90726005592289,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
111,False,"{'a': 0.4, 'e': 0.4446615167417068}",35,0,-59.68162986237244,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.4, 'e': 0.43568244627671227}",25,0,-55.88695535409887,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
